epoch,ER,F1,loss
0,0.9986689990493357,0.0026581576708601833,0.3810529868920644
1,0.9999999999619714,0.0,0.343386217323939
2,0.9950562822864673,0.009821685188920707,0.3389075492858887
3,0.9809096440150247,0.03710405103505608,0.33641465341250104
4,0.989237906868374,0.021197678073659548,0.33533686502774557
5,0.990150593208467,0.01949785310687306,0.33438325740496316
6,0.9907210221710252,0.018349291546800497,0.33193927985827126
7,0.9910252509510562,0.017769726424691552,0.3300682820002238
8,0.9793885001148696,0.04023005133363435,0.3282003365198771
9,0.9625798600181557,0.07094694343680086,0.3256100824991862
10,0.9782856707872571,0.04236843199684074,0.3217333088239034
11,0.978323699384761,0.04226757197372257,0.3161470191160838
12,0.9590812290477988,0.07801898074710774,0.3120349730650584
13,0.9501445086343876,0.09391106521273379,0.3080896430015564
14,0.9252738058668515,0.13511173216037392,0.303546503162384
15,0.9286203224471927,0.13165448231750712,0.29785711294809974
16,0.9034834194971295,0.1727174951409246,0.29264100352128347
17,0.8603970185252359,0.23720574076975223,0.28613978821436564
18,0.8362108305127696,0.27130680205473845,0.2801239724477132
19,0.8261332521742419,0.28189999206725536,0.2747869865576426
20,0.7906905993006278,0.3341526086788994,0.2685491835276286
21,0.7939990872834652,0.3273207405016506,0.2637986908753713
22,0.774148159386441,0.35054858404650135,0.2595526962121328
23,0.7422801946781914,0.3899418048366068,0.25501248914400737
24,0.7328871310947335,0.40064988304868665,0.250675922981898
25,0.7180179494707173,0.41453490047031105,0.24672745383580524
26,0.7183982354457561,0.41492690872535726,0.24303137652079265
27,0.705012169124391,0.42921526265266313,0.23973013273874919
28,0.6783921508716766,0.4538473895995812,0.2370010629494985
29,0.6693793732632576,0.46132986917619595,0.23341006015936533
30,0.6681624581431335,0.4616194251575968,0.23128506501515705
31,0.676110435021444,0.45279064775082134,0.22778763726552329
32,0.6569820504769933,0.4700237992617965,0.2259785662730535
33,0.6583891085846368,0.4710041858049669,0.22349339323043824
34,0.6635229692476604,0.46536537568674696,0.22075539772510527
35,0.6425311834255198,0.48361328863706604,0.2184809112628301
36,0.6442424703131943,0.48153347059266005,0.21682382352352142
37,0.6391466382476747,0.4848619795048061,0.21452472244103749
38,0.6423030118404965,0.4876476464307742,0.21237028919061024
39,0.6252662001587592,0.5000883681262513,0.21074750723044078
40,0.6343170063646821,0.49032411253396235,0.2086928796450297
41,0.612906905969999,0.5077689846303172,0.20659258684317272
42,0.621919683578418,0.4964789497588196,0.2040859068552653
43,0.6362944934348839,0.48257896151737856,0.2035437677383423
44,0.6040842713490994,0.5116217354171096,0.20121825830936432
45,0.6165576513303712,0.5015789529836061,0.20005378943284352
46,0.610739275912278,0.5082040001511364,0.19832680178483328
47,0.6035138423865412,0.5155511447291938,0.19624648981094361
48,0.611043504692309,0.506737556128686,0.19468092507521312
49,0.6043885001291304,0.5085047709199736,0.19372810299396515
50,0.5942728931930988,0.5164955554460545,0.19244234234491983
51,0.6016124125113472,0.512436256779098,0.19056651776631672
52,0.6049209004941847,0.5055961908439827,0.1889252137184143
53,0.5912686339902925,0.518262669667013,0.18836925939718882
54,0.5897855186876413,0.5167172957024675,0.18653813065687816
55,0.5870094310698581,0.5195297554617148,0.18518048339684803
56,0.5964405232508199,0.512829962381099,0.18315382261276245
57,0.5819516276018424,0.5224060321077852,0.18242098577022553
58,0.587998174604959,0.5201147528398972,0.18181397999922436
59,0.5970870094083858,0.5155587711931645,0.18013984689712526
60,0.568375418292958,0.5304849086463219,0.1789420482714971
61,0.588948889542556,0.5194507205615715,0.17751405758063
62,0.5698585335956092,0.5280820694343985,0.17676846590836842
63,0.5722163066408497,0.5306252511778293,0.17566331715583802
64,0.584271372049579,0.5219628634123396,0.17387393635908763
65,0.5743459081010669,0.5234527368655457,0.1734073868672053
66,0.5740797079185397,0.5271327705505592,0.17278381323019665
67,0.564344386957547,0.5331218927800125,0.17170916029612224
68,0.5746501368810979,0.5227852238059295,0.16967706021467846
69,0.5763233951712685,0.5238627902660513,0.1694427678823471
70,0.5730909643834389,0.5231610502322098,0.1677796336889267
71,0.587389717044897,0.5184561091543162,0.1669758666753769
72,0.5709233343257178,0.5255847121812085,0.16590511117776235
73,0.5689838758530201,0.5291558824041407,0.16599600525697072
74,0.5648767873226013,0.5280593344896285,0.1645575431505839
