epoch,ER,F1,dense_26_loss,dense_27_loss,dense_28_loss,loss
29,"""[0.5136659433780192, 0.616750289225492, 0.48679806601457865]""","""[0.5943791638120628, 0.7269407167222401, 0.5892394765662502]""",0.4704102439632274,0.49841578845776036,0.40129429604613215,1.3701203245650433
30,"""[0.5032537958771134, 0.616750289225492, 0.48679806601457865]""","""[0.6002616445963661, 0.7269407167222401, 0.5892394765662502]""",0.4664729859843944,0.4946706004487643,0.39655974183578774,1.3577033301773855
31,"""[0.5162689802532456, 0.616750289225492, 0.48679806601457865]""","""[0.5949835175925412, 0.7269407167222401, 0.5892394765662502]""",0.4647229348611259,0.4906750175358569,0.39213480739473544,1.347532757423209
32,"""[0.5314533620253998, 0.616750289225492, 0.48679806601457865]""","""[0.5853653844224935, 0.7269407167222401, 0.5892394765662502]""",0.466399782517762,0.4874914338958134,0.38790086576296573,1.3417920826366112
33,"""[0.5362255962966483, 0.616750289225492, 0.48679806601457865]""","""[0.5836741167754758, 0.7269407167222401, 0.5892394765662502]""",0.46315304646156663,0.48397722129756343,0.3839301520105496,1.3310604211328505
34,"""[0.5258134487957425, 0.616750289225492, 0.48679806601457865]""","""[0.5879500394908868, 0.7269407167222401, 0.5892394765662502]""",0.462593378510865,0.48073596283665654,0.38018090909654717,1.323510251636843
35,"""[0.5106290670235882, 0.616750289225492, 0.48679806601457865]""","""[0.5987256392996104, 0.7269407167222401, 0.5892394765662502]""",0.4618957642489259,0.4772702774843398,0.37662130756130074,1.3157873455628863
36,"""[0.530585683066991, 0.616750289225492, 0.48679806601457865]""","""[0.5866083679309099, 0.7269407167222401, 0.5892394765662502]""",0.46156212375667044,0.47454782664400974,0.3732783406240181,1.3093882945689423
37,"""[0.5271149672333558, 0.616750289225492, 0.48679806601457865]""","""[0.5883935915936015, 0.7269407167222401, 0.5892394765662502]""",0.4594036629194529,0.4712707959562796,0.3701024090582606,1.3007768693142034
38,"""[0.5327548804630131, 0.616750289225492, 0.48679806601457865]""","""[0.5851666056941577, 0.7269407167222401, 0.5892394765662502]""",0.46047968803779815,0.4687556690526322,0.3670814619737737,1.2963168213475154
39,"""[0.48850325358416347, 0.616750289225492, 0.48679806601457865]""","""[0.610090074536277, 0.7269407167222401, 0.5892394765662502]""",0.45662853297265754,0.4656921060273414,0.3642349514264662,1.2865555867799832
40,"""[0.5184381776492676, 0.616750289225492, 0.48679806601457865]""","""[0.5934237447861342, 0.7269407167222401, 0.5892394765662502]""",0.45792479841214306,0.46278959015153215,0.3615030861364357,1.2822174734221383
41,"""[0.5249457698373338, 0.616750289225492, 0.48679806601457865]""","""[0.5885509928840891, 0.7269407167222401, 0.5892394765662502]""",0.4584591195472927,0.4605885143277303,0.3589350031129696,1.2779826346365228
